Designator,Mid X,Mid Y,Rotation,Layer
C1,43.18,-54.57,270.0,top
C2,43.18,-62.19,90.0,top
C3,50.435,-88.138,0.0,top
C4,80.01,-44.45,90.0,top
C5,71.022651,-38.1,180.0,top
C6,124.46,-44.45,90.0,top
C7,112.2625,-43.815,90.0,top
C8,132.12,-48.26,180.0,top
D1,42.545,-85.725,270.0,top
D10,146.05,-79.756,90.0,top
D11,146.05,-61.976,90.0,top
D12,152.654,-61.976,90.0,top
D13,159.258,-61.976,90.0,top
D14,165.862,-61.976,90.0,top
D15,172.466,-61.976,90.0,top
D16,179.07,-61.976,90.0,top
D17,185.674,-61.976,90.0,top
D18,192.278,-61.976,90.0,top
D2,80.518,-36.83,270.0,top
D3,192.278,-79.756,90.0,top
D4,185.674,-79.756,90.0,top
D5,179.07,-79.756,90.0,top
D6,172.466,-79.756,90.0,top
D7,165.862,-79.756,90.0,top
D8,159.258,-79.756,90.0,top
D9,152.654,-79.756,90.0,top
F1,55.626,-34.798,0.0,top
J1,43.18,-72.395,0.0,top
J10,110.49,-64.77,180.0,top
J11,167.64,-44.45,270.0,top
J12,70.612,-31.242,270.0,top
J2,55.3375,-77.47,0.0,top
J3,46.99,-69.85,0.0,top
J4,129.54,-33.02,90.0,top
J5,82.55,-66.04,180.0,top
J6,78.1975,-77.465,0.0,top
J7,48.845,-45.53,0.0,top
J8,67.945,-110.49,90.0,top
J9,138.43,-82.55,180.0,top
R1,45.72,-85.725,270.0,top
R2,95.25,-35.56,270.0,top
R3,99.695,-35.56,270.0,top
R4,104.14,-35.56,270.0,top
R5,77.343,-33.655,270.0,top
RN1,50.8,-73.66,270.0,top
RN2,114.3,-63.5,270.0,top
RN3,170.18,-72.644,180.0,top
RN4,166.37,-39.37,0.0,top
RN5,170.18,-54.61,180.0,top
RN6,170.18,-95.885,180.0,top
SW1,45.795,-94.96,180.0,top
SW2,63.2015,-35.755,90.0,top
SW3,168.91,-102.87,90.0,top
TP1,112.395,-31.75,90.0,top
TP2,145.415,-31.75,90.0,top
U1,66.7675,-77.47,0.0,top
U2,118.364,-47.945,180.0,top
U3,127.0,-77.47,0.0,top
U4,96.52,-77.47,0.0,top
Y1,49.53,-57.15,90.0,top
